,评论,断句,方面词,情感词
639,做工也不错真心不错,1,做工,不错
640, 上身效果：上身效果不错,1,效果,不错
641, 尺码推荐：尺码偏小,1,尺码,偏小
642, 厚薄度：衣服薄薄的,1,厚薄度,薄薄的
643,纯棉很舒服,1,纯棉,舒服
644,透气好,1,透气,好
645,纯棉的手感很好,1,手感,好
646,纯棉穿着很舒服,1,纯棉,舒服
647,给老公买的质量也不错好评,1,质量,不错
648,感觉今年的圆领没有去年的好,1,感觉,好
649,料子的触感没有去年柔软,0,触感,柔软
650,建议大家拍大一码的,0,建议,不错
651,面料的确是纯棉的,0,面料,纯棉
652,就是发货时间太长了,0,发货,时间太长
653,面料不怎么好衣服收到了,1,面料,不怎么好
654,版型一般,1,版型,一般
655,质量很好值得购买,1,质量,好
656,码数感觉偏小一码,1,码数,偏小
657,衣服质量还不错的,1,衣服质量,不错
658,洗了一下起球严重,1,起球,严重
659,质量有保障,1,质量,有保障
660,手感很舒服,1,手感,舒服
661,样子也漂亮,1,样子,漂亮
662,感觉很舒服、漂亮🌝,1,感觉,漂亮
663,整体评价：质感可以,0,质感,可以
664,短袖质量好,1,质量,好
665,应该是尺码偏小一点儿,1,尺码,偏小
666,大小正合适很满意,1,大小,正合适
667,穿着透气舒适,1,透气,舒适
668, 上身效果：好,1,效果,好
669,喜欢衣服大小正合适,1,衣服大小,正合适
670,尺寸不大不小刚刚合适,1,尺寸,合适
671,就是图案久了会掉色,0,图案,掉色
672,整体评价：讲真整体还是不错,1,整体,不错
673,关键是价格太给力了,1,价格,给力
674,大小也很合适,0,大小,合适
675,短袖纯棉的还不错,0,纯棉,不错
676,给老公买的大小也合适,1,大小,合适
677,码数大小也很合适,0,码数大小,合适
678,不过还好样式不错,0,样式,不错
679,这个黑色的比较中性,1,黑色,中性
680,老公穿上正好,0,大小,正好
681,不错质量不是很好,0,质量,不错
682,还有包装精美,0,包装,精美
683,宝贝真心不错,0,宝贝,不错
684,发货快性价比高,1,性价比,高
685,而且面料是棉的,1,面料,棉的
686,这个性价比很高,1,性价比,高
687, 材质特性：柔软舒适,1,材质,柔软舒适
688,8块多 蛮合适的比较薄一点,1,尺码,合适
689,质量还可以吧,1,质量,可以
690,做工也很好,1,做工,好
691,整体评价：尺码标准,1,尺码,标准
692,没想到这么合适 厚薄度：夏天穿刚刚好,1,尺码,合适
693,图案不掉色,1,图案,不掉色
694,这个价格买到棉的衣服,0,价格,便宜
695,t恤试了试穿着挺合适的,1,尺码,合适
696,物流很快面料不错,1,物流,不错
697,第一次料子好,0,料子,好
698,这个T恤衫真的是纯棉的,1,T恤衫,纯棉
699,不过也可以 面料品质：棉线的,1,面料,棉线的
700,衣服洗了不褪色,1,衣服,不褪色
701,面料手感不错,0,手感,不错
702,面料品质：缩水太严重了,0,面料,缩水
703,衣服是薄款的,0,衣服,薄款
704,夏天穿也合适,0,尺码,合适
705,面料也还行,0,面料,还行
706,质量样式还行,1,质量样式,还行
707,宝贝物超所值,1,宝贝,物超所值
708,面料柔软全棉的上身很舒服,1,面料,柔软
709,非常不错大小合适,0,大小,合适
710,码数不合适要换货,0,码数,不合适
711,质量不错值得购买,0,质量,不错
712,就是物流太垃圾,0,物流,太垃圾
713,穿着不合适,0,尺码,不合适
714,用料挺单薄的,0,用料,单薄
715,做工精细没有薄款,1,做工,精细
716,服务态度真是不咋滴,1,服务态度,不咋滴
717,衣服质量还好,1,衣服质量,还好
718,整体来说还是可以的,1,整体,可以
719,质量也还是不错的,1,质量,不错
720,质量也还可以,0,质量,可以
721,穿着感觉还可以,0,感觉,可以
722,码子可能偏小,0,码子,偏小
723,大小穿着合适,1,大小,合适
724,质量挺不错,1,质量,不错
725,非常满意便宜,0,价格,便宜
726,质量很好没问题,0,质量,好
727,面料品质：纯棉,0,面料,纯棉
728,整体上身感觉很合身,0,整体,合身
729,东西很好的,0,东西,很好
730,号码大小合适,0,号码大小,合适
731,质量不错东西不错,1,质量,不错
732,布料超粗糙,1,布料,粗糙
733,衣服质量偏硬,1,衣服,偏硬
734,质量太差劲了啦,1,质量,太差劲
735,衣服也很好看,1,衣服,好看
736,整体评价：衣服还不错,0,衣服,不错
737,洗过一次后发现料有点粗糙,0,布料,粗糙
738,给儿子买的 纯棉的做工也很精细,1,做工,精细
739,这个比心的图案印的清晰,1,图案,清晰
740,纯棉的舒服,1,纯棉,舒服
741,不过质量很好,1,质量,好
742,穿的就更好更舒服了,1,面料,舒服
743,总体来说挺好的,1,总体,好
744,摸着面料很舒服,1,面料,舒服
745, 布料挺柔滑的了,0,布料,柔滑
746,衣服质量还不错,1,衣服,不错
747,大家别买衣服收到了质量不错,1,衣服,不错
748,大小很合适,1,大小,合适
749,很舒服透气哦,0,透气,舒服
750,一款性价比高的T恤,0,性价比,高
751,但质量很好,1,质量,好
752,款式很好看,1,款式,好看
753,颜色花色漂亮,1,颜色,漂亮
754,布料不错哦,1,布料,不错
755,总体还不错,1,总体,不错
756,穿着也很舒服,1,面料,舒服
757,穿起来非常的舒服,1,面料,舒服
758,衣服穿起来很舒服,1,衣服,舒服
759,上身效果：可以,1,效果,可以
760,这个价位的东西已经非常不错了,1,价位,不错
761,衣服款式挺好,0,衣服款式,好
762,质量非常好,0,质量,好
763,衣服非常好,0,衣服,好
764,穿着很舒服,0,面料,舒服
765,衣服收到了质量很好,0,质量,好
766,蘑菇头穿这个不好看穿着很舒适,1,面料,舒适
767,总体下来相当不错,1,总体,不错
768,这东西一般般吧,1,东西,一般般
769,这个价钱还算过得去,0,价钱,过得去
770,之前买了两件短袖是全棉的穿着很舒服,1,全棉,舒服
771,不过摸着没短袖的棉软,0,短袖,绵软
772,衣服跟图片一样好,0,衣服,好
773,穿起来感觉不错,1,感觉,不错
774,衣服穿了一段时间，挺好的。,1,衣服,好
775,质量还不错,1,质量,不错
776,好看又实惠,0,衣服,实惠好看
777,但是尺码还合适材质特性：不错,1,尺码材质,合适不错
778,这个衣服感觉真心不错,1,衣服,不错
779,个人感觉值得购买,1,个人感觉,值得
780,符合预期效果不错,1,效果,不错
781,物超所值～～～回来很棒,1,衣服,很棒
782,颜色很显白,0,颜色,显白
783,不是滑滑的布料,0,布料,滑滑
784,样式挺好看的,0,样式,好看
785,也没有色差,0,色差,不错
786,是不错的衣服,1,衣服,不错
787,衣服质量挺好的,1,衣服质量,好
788,衣服还是很不错的,0,衣服,不错
789,衣服质量很好,1,衣服质量,好
790,衣服很不错,0,衣服,不错
791,穿起来舒服,1,面料,舒服
792,面料很舒服,1,面料,舒服
793,上身效果不错,1,效果,不错
794,质量和服务也一样是杠杠滴哦,1,质量,好
795,衣服还是挺好的,1,衣服,好
796,衣服质量不错 ,1,衣服质量,不错
797,绿色有色差,0,绿色,有色差
798,但是色差太明显了,1,色差,明显
799,又便宜性价比很高,1,性价比,高
800,是有弹性 S掌柜人不错 ,0,弹性,好
801,衣服很好 服务很热情,0,衣服,好
802,感觉不太适合灰色的,0,灰色,不太适合
803,但是服务态度与衣服款式都非常满意,0,衣服款式,满意
804,完全超出期望值,1,期望值,超出
805,包装非常仔细、严实,1,包装,严实
806,很满意的一次购物,0,购物,满意
807,质量不好 好硬的衣服啊,0,质量,不好
808,穿起来很舒服,0,面料,舒服
809,款式也好看,0,款式,好看
810,特别的不错衣服收到,0,衣服,不错
811,质量很不错,0,质量,不错
812,价格还优惠,0,价格,优惠
813,说给我补偿3元,1,补偿,不错
814,衣服质量还可以,1,衣服质量,可以
815,宽松度正好,1,布料,宽松
816,衣服材质不是特别好,1,衣服材质,不好
817,几十块钱的东西凑合吧,1,东西,凑合
818,态度还不好,0,态度,不好
819,真的是服了 要个好评要到又打电话又发短信来烦人吗,0,感觉,烦人
820,布料粗糙了些,0,布料,粗糙
821,整体评价：宽松舒适 ,1,整体,宽松舒适
822,整体评价：衣服穿上很舒服,0,整体,舒服
823,颜色也很好看,0,颜色,好看
824,主屏很难得的正品,1,正品,难得
825,衣服挺好的,1,衣服,好
826,衣服质量和款式我都比较喜欢,1,款式,喜欢
827,衣服直接就丢了,1,衣服,丢了
828,穿上不仅好看还很舒服,1,面料,舒服
829,不是纯棉的,0,纯棉,不是
830,值得购买呢还不错,0,购买,值得
831,整体评价：大小合适,0,整体,合适
832,上身效果：效果很好,0,上身,效果好
833,但总体真的很不错,1,总体,不错
834,商品质量好而价低廉,1,商品质量,好
835,而且很不错哦,0,衣服,不错
836,整体评价：还好,1,整体,还好
837,男朋友喜欢 材质特性：应该是一般的料子,1,材质,一般
838,不过可以藏肉肉 尺码推荐：正常就好 厚薄度：薄 面料品质：不太了解,0,尺码,好
839,我发现这衣服粗糙不说,0,衣服,粗糙
840,还有些生硬,0,衣服,生硬
841,衣服穿着不错,0,衣服,不错
842,质量也可以,0,质量,可以
843,衣服的质量很好,1,质量,好
844,背后一点都不舒服 难受,1,面料,不舒服
845,宝贝质量不错,1,质量,不错
846,整体评价：衣服很好,1,衣服,好
847,回头率超高 M 很有弹性,1,回头率,高
848,比以往买的都实惠,1,衣服,实惠
849,值得购买 舒适度很好,1,舒适度,好
850,性价比超高,1,性价比,高
851,尺寸刚刚好,0,尺寸,好
852,包装的挺好的,1,包装,挺好
853,面料摸着还是挺舒服的,1,面料,舒服
854,这质量杠杠的,1,质量,好
855,这个价位算是非常好了,1,价位,好
856,布料有点粗糙,0,布料,粗糙
857,不过穿着不错,0,布料,不错
858,质量还可以,0,质量,可以
859,衣服和图片简直差太远了,1,衣服,差太远
860,色差特别厉害,1,色差,厉害
861,并没有想象中（模特身上）的宽松 ,1,身上,宽松
862,买了几家对比就这家质量不好,1,质量,不好
863,衣服的确可以,1,衣服,可以
864,料子也很好,1,料子,好
865,衣服穿上去人变漂亮了,0,衣服,漂亮
866,质量也很好,0,质量,好
867,质量很好不错,0,质量,不错
868,质量比想象中的好,0,质量,好
869,价格也便宜,0,价格,便宜
870,衣服非常的合身,0,衣服,合身
871,评语；质量很好,1,质量,好
872,质量真的很好,1,质量,好
873,喜欢这种好质量衣服,1,质量,喜欢
874,衣服很好看,1,衣服,好看
875,价格还行穿舒服,0,价格,还行
876,衣服不错哦,1,衣服,不错
877,总体看很有性价比,0,性价比,好
878,老板态度很好,0,态度,好
879,宝贝很喜欢,1,宝贝,喜欢
880,整体还可以,0,整体,还可以
881,穿着也特别舒服,0,面料,舒服
882,衣服还不错 有一说一宝贝可以的,1,衣服,不错
883,洗过没有起球的现象,0,衣服,没有起球
884,这两件衣服的性价还是比较高的,1,性价比,高
885,做工也挺精细,1,做工,精细
886,质量不错穿着挺舒服,1,质量,不错
887,质量也就一般,1,质量,一般
888,非常好的衣服,1,衣服,好
889,这件衣服真的很舒服,1,衣服,舒服
890,上身效果很漂亮,0,效果,漂亮
891,性价比很高,0,性价比,高
892,特别满意的一次购物,0,购物,满意
893, 厚薄度：薄厚适中,0,厚薄,适中
894,衣服还不错,1,衣服,不错
895,质量OK布料也可以,1,质量,可以
896,、、还行东西不错,1,东西,不错
897,不满意的购物,1,购物,不满意
898,质量和款式都很好,1,质量款式,好
899,收到衣服质量真的很令我惊喜,1,衣服质量,惊喜
900,面料摸起来十分的舒服 ,1,面料,舒服
901,黑的还是会掉点色,1,黑的,掉色
902,面料感觉挺好的,0,面料,好
903,手感也特别好,0,手感,好
904,衣服很喜欢,0,衣服,喜欢
905,衣服很修身,0,衣服,修身
906,衣服图案像是被刮花了,0,衣服图案,刮花
907,态度也极差,0,态度,极差
908,这是我体验最差的一次购物,0,体验,最差
909,衣服面料也不好,0,衣服面料,不好
910,上身效果：完全是没有问题的,1,效果,没有问题
911,便宜又好穿还不错,1,价格,便宜
912,便宜又实惠,1,价格,便宜
913,想要便宜的可以买这款宽松短袖,0,短袖,便宜
914,还可以 性价比不错 质量目前没发现有什么问题,0,性价比,不错
915,不过颜色有点点偏差没什么影响(我买到的是这样,0,颜色,偏差
916,质量不错 可以购买,1,质量,不错
917,相当的不错啊,1,衣服,不错
918,价格还实惠,1,价格,实惠
919,儿子穿着好帅气,1,设计,帅气
920,整体评价：太喜欢了这么便宜还质量好 面料品质：很舒服非常喜欢,1,面料,舒服
921,质量实再不错,1,价格,实惠
922,价格也很实惠,0,价格,实惠
923,我穿上去刚刚好,1,大小,好
924,质量挺好的,1,质量,好
925,宝贝很合身,0,宝贝,合身
926,半袖质量真的没的说,1,半袖,没的说
927,夏天穿着吸汗透气,1,面料,透气
928,性价比很大,0,性价比,很大
929,这么便宜还能买到这么好的质量太满意了,0,质量,满意
930,客户服务不错,0,服务,不错
931,个人感觉很好挺喜欢的,0,个人感觉,喜欢
932,这个衣服真的很不错,0,衣服,不错
933,拿来第一感觉就是这个衣服的质量是真的不错,0,质量,不错
934,衣服穿上很舒服,1,衣服,舒服
935,除了有异味剩下的都还不错,1,衣服,有异味
936,这么便宜的价格买到这样的衣服,1,价格,便宜
937,质量挺好的穿起来舒服,1,质量,好
938,我喜欢还不错,1,衣服,不错
939,个人爱好绿色,1,绿色,个人爱好
940,衣服很喜欢又买了一件,0,衣服,喜欢
941,质量特别好,1,质量,好
942,真的超级垃圾,0,衣服,垃圾
943,衣服穿着很好,0,衣服,好
944,整体评价：还不错,1,整体,不错
945,整体评价：不错不错 面料品质：款式很好看,1,款式,好看
946,孩子穿的很帅气,1,设计,帅气
947,质量也是理想中的,0,质量,好
948,价格也很便宜,0,价格,便宜
949,料子是喜欢的那种,0,料子,喜欢
950,这是我几两次买这家的T恤了,0,T恤,不错
951,真心的感觉不错,1,感觉,不错
952,衣服相当不错奥,0,衣服,不错
953,质量也不错,1,质量,不错
954,物流也给力,1,物流,给力
955,衣服质量不错,1,衣服质量,不错
956,穿在身上很舒适,1,面料,舒适
957,面料品质：穿上蛮好看的,0,面料,好看
958,但是布料一般般,1,布料,一般般
959,上身效果好,1,上身,好
960,衣服穿起来舒适,1,衣服,舒适
961,质量一般般了,0,质量,一般般
962,洗了2次白色T恤就开始泛黄了,0,白色T恤,泛黄
