,评论,方面词,情感词
705,就是发货时间太长了,发货,时间太长
706,面料不怎么好衣服收到了,面料,不怎么好
707,版型一般,版型,一般
708,质量很好值得购买,质量,好
709,码数感觉偏小一码,码数,偏小
710,衣服质量还不错的,衣服质量,不错
711,洗了一下起球严重,起球,严重
712,质量有保障,质量,有保障
713,手感很舒服,手感,舒服
714,样子也漂亮,样子,漂亮
715,感觉很舒服、漂亮🌝,感觉,漂亮
716,整体评价：质感可以,质感,可以
717,短袖质量好,质量,好
718,应该是尺码偏小一点儿,尺码,偏小
719,大小正合适很满意,大小,正合适
720,穿着透气舒适,透气,舒适
721,短袖质量太差了买的白色发了一个灰色,质量,差
722,弹性比较大,弹性,大
723, 上身效果：好,效果,好
724,喜欢衣服大小正合适,衣服大小,正合适
725,尺寸不大不小刚刚合适,尺寸,合适
726,就是领子感觉有点窄,领子,窄
727,就是图案久了会掉色,图案,掉色
728,整体评价：讲真整体还是不错,整体,不错
729,关键是价格太给力了,价格,给力
730,大小也很合适,大小,合适
731,短袖纯棉的还不错,纯棉,不错
732,给老公买的大小也合适,大小,合适
733,码数大小也很合适,码数大小,合适
734,不过还好样式不错,样式,不错
735,这个黑色的比较中性,黑色,中性
736,老公穿上正好,大小,正好
737,不错质量不是很好,质量,不错
738,还有包装精美,包装,精美
739,宝贝真心不错,宝贝,不错
740,发货快性价比高,性价比,高
741,而且面料是棉的,面料,棉的
742,这个性价比很高,性价比,高
743, 材质特性：柔软舒适,材质,柔软舒适
744,就觉得有点紧,布料,紧
745,8块多 蛮合适的比较薄一点,尺码,合适
746,衣服尺码小,衣服尺码,小
747,线头多的要死,线头,多
748,质量还可以吧,质量,可以
749,做工也很好,做工,好
750,整体评价：尺码标准,尺码,标准
751,没想到这么合适 厚薄度：夏天穿刚刚好,尺码,合适
752,图案不掉色,图案,不掉色
753,这个价格买到棉的衣服,价格,便宜
754,t恤试了试穿着挺合适的,尺码,合适
755,物流很快面料不错,物流,不错
756,第一次料子好,料子,好
757,这个T恤衫真的是纯棉的,T恤衫,纯棉
758,不过也可以 面料品质：棉线的,面料,棉线的
759,衣服洗了不褪色,衣服,不褪色
760,就是衣服小了点,衣服,小
761,面料手感不错,手感,不错
762,面料品质：缩水太严重了,面料,缩水
763,衣服是薄款的,衣服,薄款
764,夏天穿也合适,尺码,合适
765,面料也还行,面料,还行
766,布料薄的穿上就透明,布料,薄
767,质量样式还行,质量样式,还行
768,宝贝物超所值,宝贝,物超所值
769,面料柔软全棉的上身很舒服,面料,柔软
770,非常不错大小合适,大小,合适
771,码数不合适要换货,码数,不合适
772,个人感觉袖口有点小.,袖口,小
773,质量不错值得购买,质量,不错
774,就是物流太垃圾,物流,太垃圾
775,穿着不合适,尺码,不合适
776,用料挺单薄的,用料,单薄
777,做工精细没有薄款,做工,精细
778,服务态度真是不咋滴,服务态度,不咋滴
779,衣服质量还好,衣服质量,还好
780,整体来说还是可以的,整体,可以
781,质量也还是不错的,质量,不错
782,质量也还可以,质量,可以
783,物流真是超级慢,物流,慢
784,穿着感觉还可以,感觉,可以
785,码子可能偏小,码子,偏小
786,大小穿着合适,大小,合适
787,质量挺不错,质量,不错
788,非常满意便宜,价格,便宜
789,质量很好没问题,质量,好
790,面料品质：纯棉,面料,纯棉
791,就是尺寸有点小,尺寸,小
792,整体上身感觉很合身,整体,合身
793,东西很好的,东西,很好
794,号码大小合适,号码大小,合适
795,质量不错东西不错,质量,不错
796,布料超粗糙,布料,粗糙
797,衣服质量偏硬,衣服,偏硬
798,布料特别薄,布料,薄
799,质量太差劲了啦,质量,太差劲
800,衣服也很好看,衣服,好看
801,整体评价：衣服还不错,衣服,不错
802,洗过一次后发现料有点粗糙,布料,粗糙
803,衣服收到就有很多褶皱,褶皱,多
804,给儿子买的 纯棉的做工也很精细,做工,精细
805,这个比心的图案印的清晰,图案,清晰
806,纯棉的舒服,纯棉,舒服
807,不过质量很好,质量,好
808,穿的就更好更舒服了,面料,舒服
809,总体来说挺好的,总体,好
810,摸着面料很舒服,面料,舒服
811, 布料挺柔滑的了,布料,柔滑
812,衣服质量还不错,衣服,不错
813,大家别买衣服收到了质量不错,衣服,不错
814,大小很合适,大小,合适
815,很舒服透气哦,透气,舒服
816,一款性价比高的T恤,性价比,高
817,但质量很好,质量,好
818,款式很好看,款式,好看
819,颜色花色漂亮,颜色,漂亮
820,布料不错哦,布料,不错
821,总体还不错,总体,不错
822,穿着也很舒服,面料,舒服
823,穿起来非常的舒服,面料,舒服
824,衣服穿起来很舒服,衣服,舒服
825,上身效果：可以,效果,可以
826,这个价位的东西已经非常不错了,价位,不错
827,衣服款式挺好,衣服款式,好
828,质量非常好,质量,好
829,衣服非常好,衣服,好
830,穿着很舒服,面料,舒服
831,衣服收到了质量很好,质量,好
832,发货速度快,发货,快
833,蘑菇头穿这个不好看穿着很舒适,面料,舒适
834,就是感觉颜色有点少,颜色,少
835,总体下来相当不错,总体,不错
836,这东西一般般吧,东西,一般般
837,这个价钱还算过得去,价钱,过得去
838,之前买了两件短袖是全棉的穿着很舒服,全棉,舒服
839,不过摸着没短袖的棉软,短袖,绵软
840,衣服跟图片一样好,衣服,好
841,穿起来感觉不错,感觉,不错
842,衣服穿了一段时间，挺好的。,衣服,好
843,质量还不错,质量,不错
844,好看又实惠,衣服,实惠好看
845,只不过买小了一号,衣服,小
846,但是尺码还合适材质特性：不错,尺码材质,合适不错
847,这个衣服感觉真心不错,衣服,不错
848,个人感觉值得购买,个人感觉,值得
849,符合预期效果不错,效果,不错
850,物超所值～～～回来很棒,衣服,很棒
851,颜色很显白,颜色,显白
852,不是滑滑的布料,布料,滑滑
853,样式挺好看的,样式,好看
854,也没有色差,色差,不错
855,是不错的衣服,衣服,不错
856,衣服质量挺好的,衣服质量,好
857,衣服还是很不错的,衣服,不错
858,服务跟物流一样快,物流,快
859,衣服质量很好,衣服质量,好
860,衣服很不错,衣服,不错
861,穿起来舒服,面料,舒服
862,面料很舒服,面料,舒服
863,上身效果不错,效果,不错
864,质量和服务也一样是杠杠滴哦,质量,好
865,衣服还是挺好的,衣服,好
866,衣服质量不错 ,衣服质量,不错
867,绿色有色差,绿色,有色差
868,整体评价：真的差 材质特性：布料差的离谱,布料,差
869, 上身效果：差 尺码推荐：给我推荐的大了 面料品质：差,效果,差
870,但是色差太明显了,色差,明显
871,又便宜性价比很高,性价比,高
872,是有弹性 S掌柜人不错 ,弹性,好
873,衣服很好 服务很热情,衣服,好
874,感觉不太适合灰色的,灰色,不太适合
875,但是服务态度与衣服款式都非常满意,衣服款式,满意
876,完全超出期望值,期望值,超出
877,发货速度非常快,发货,快
878,包装非常仔细、严实,包装,严实
879,运送速度很快,速度,快
880,很满意的一次购物,购物,满意
881,质量不好 好硬的衣服啊,质量,不好
882,穿起来很舒服,面料,舒服
883,款式也好看,款式,好看
884,特别的不错衣服收到,衣服,不错
885,质量很不错,质量,不错
886,价格还优惠,价格,优惠
887,说给我补偿3元,补偿,不错
888,衣服质量还可以,衣服质量,可以
889,宽松度正好,布料,宽松
890,衣服材质不是特别好,衣服材质,不好
891,几十块钱的东西凑合吧,东西,凑合
892,态度还不好,态度,不好
893,真的是服了 要个好评要到又打电话又发短信来烦人吗,感觉,烦人
894,布料粗糙了些,布料,粗糙
895,就是卖着卖着就贵了,价格,贵
896,现在就贵了,价格,贵
897,整体评价：宽松舒适 ,整体,宽松舒适
898,整体评价：衣服穿上很舒服,整体,舒服
899,颜色也很好看,颜色,好看
900,主屏很难得的正品,正品,难得
901,衣服挺好的,衣服,好
902,物流也很快,物流,快
903,可以就是有点厚,衣服,厚
904,衣服质量和款式我都比较喜欢,款式,喜欢
905,买到家发现衣服大到没法穿,衣服,大
906,衣服直接就丢了,衣服,丢了
907,穿上不仅好看还很舒服,面料,舒服
908,不是纯棉的,纯棉,不是
909,值得购买呢还不错,购买,值得
910,整体评价：大小合适,整体,合适
911,上身效果：效果很好,上身,效果好
912,但总体真的很不错,总体,不错
913,商品质量好而价低廉,商品质量,好
914,而且很不错哦,衣服,不错
915,整体评价：还好,整体,还好
916,男朋友喜欢 材质特性：应该是一般的料子,材质,一般
917, 上身效果：男朋友有点点胖,效果,胖
918,不过可以藏肉肉 尺码推荐：正常就好 厚薄度：薄 面料品质：不太了解,尺码,好
919,我发现这衣服粗糙不说,衣服,粗糙
920,还有些生硬,衣服,生硬
921,衣服穿着不错,衣服,不错
922,质量也可以,质量,可以
923,衣服的质量很好,质量,好
924,背后一点都不舒服 难受,面料,不舒服
925, 厚薄度：有点厚,厚薄度,厚
926,宝贝质量不错,质量,不错
927,整体评价：衣服很好,衣服,好
928,回头率超高 M 很有弹性,回头率,高
929,比以往买的都实惠,衣服,实惠
930,值得购买 舒适度很好,舒适度,好
931,性价比超高,性价比,高
932,尺寸刚刚好,尺寸,好
933,包装的挺好的,包装,挺好
934,面料摸着还是挺舒服的,面料,舒服
935,这质量杠杠的,质量,好
936,这个价位算是非常好了,价位,好
937,就是线容易松,线,松
938,布料有点粗糙,布料,粗糙
939,不过穿着不错,布料,不错
940,质量还可以,质量,可以
941,衣服和图片简直差太远了,衣服,差太远
942,色差特别厉害,色差,厉害
943,并没有想象中（模特身上）的宽松 ,身上,宽松
944,买了几家对比就这家质量不好,质量,不好
945,衣服硬的扎身,衣服,硬
946,衣服的确可以,衣服,可以
947,料子也很好,料子,好
948,衣服穿上去人变漂亮了,衣服,漂亮
949,质量也很好,质量,好
950,质量很好不错,质量,不错
951,质量比想象中的好,质量,好
952,价格也便宜,价格,便宜
953,衣服非常的合身,衣服,合身
954,评语；质量很好,质量,好
955,质量真的很好,质量,好
956,喜欢这种好质量衣服,质量,喜欢
957,衣服很好看,衣服,好看
958,价格还行穿舒服,价格,还行
959,衣服不错哦,衣服,不错
960,总体看很有性价比,性价比,好
961,老板态度很好,态度,好
962,宝贝很喜欢,宝贝,喜欢
963,整体还可以,整体,还可以
964,穿着也特别舒服,面料,舒服
965,衣服还不错 有一说一宝贝可以的,衣服,不错
966,洗过没有起球的现象,衣服,没有起球
967,这两件衣服的性价还是比较高的,性价比,高
968,做工也挺精细,做工,精细
969,质量不错穿着挺舒服,质量,不错
970,质量也就一般,质量,一般
971,而且发货又快,发货,快
972,非常好的衣服,衣服,好
973,这件衣服真的很舒服,衣服,舒服
974,上身效果很漂亮,效果,漂亮
975,性价比很高,性价比,高
976,特别满意的一次购物,购物,满意
977, 厚薄度：薄厚适中,厚薄,适中
978,衣服还不错,衣服,不错
979,质量OK布料也可以,质量,可以
980,、、还行东西不错,东西,不错
981,不满意的购物,购物,不满意
982,儿子很瘦的感觉大了,感觉,大
983,质量和款式都很好,质量款式,好
984,收到衣服质量真的很令我惊喜,衣服质量,惊喜
985,面料摸起来十分的舒服 ,面料,舒服
986,除了比较透以为其他挺好的,面料,透
987,黑的还是会掉点色,黑的,掉色
988,面料感觉挺好的,面料,好
989,手感也特别好,手感,好
990,衣服很喜欢,衣服,喜欢
991,衣服很修身,衣服,修身
992,衣服图案像是被刮花了,衣服图案,刮花
993,态度也极差,态度,极差
994,这是我体验最差的一次购物,体验,最差
995,衣服面料也不好,衣服面料,不好
996,还有好多线头,线头,多
997,上身效果：完全是没有问题的,效果,没有问题
998,便宜又好穿还不错,价格,便宜
999,便宜又实惠,价格,便宜
1000,想要便宜的可以买这款宽松短袖,短袖,便宜
1001,还可以 性价比不错 质量目前没发现有什么问题,性价比,不错
1002,不过颜色有点点偏差没什么影响(我买到的是这样,颜色,偏差
1003,质量不错 可以购买,质量,不错
1004,相当的不错啊,衣服,不错
1005,就是领口有点小,领口,小
1006,价格还实惠,价格,实惠
1007,儿子穿着好帅气,设计,帅气
1008,整体评价：太喜欢了这么便宜还质量好 面料品质：很舒服非常喜欢,面料,舒服
1009,质量实再不错,价格,实惠
1010,价格也很实惠,价格,实惠
1011,但是他穿太大了,衣服,大
